local_name,date,project_name,crew,ef_id,gps_id,sampling_method,pass_number,ef_seconds,voltage,frequency,enclosure,wp_top,wp_bottom,site_start_time,site_end_time,segment_start_time,segment_end_time,species,length,weight,alive,pit_tag_id,row_id,camera_id,photo_time_start,photo_time_end,comments
125180_us_ef1,2024-09-06T00:00:00Z,2024-073-sern-peace-fish-passage,AI LS,AI,AI,electrofishing,1,381,450,60,partial enclosure,,,13:00:00,13:43:00,13:00:00,13:10:30,Rainbow Trout,80,5.4,TRUE,3DD.003E192AFD,350,AI,14:10:00,,NA. Pit Tag ID: 3DD.003E192AFD. Row ID: 350. 
125180_us_ef1,2024-09-06T00:00:00Z,2024-073-sern-peace-fish-passage,AI LS,AI,AI,electrofishing,1,381,450,60,partial enclosure,,,13:00:00,13:43:00,13:00:00,13:10:30,Rainbow Trout,76,5.2,TRUE,3DD.003E192AF2,351,AI,,,NA. Pit Tag ID: 3DD.003E192AF2. Row ID: 351. 
125180_us_ef1,2024-09-06T00:00:00Z,2024-073-sern-peace-fish-passage,AI LS,AI,AI,electrofishing,1,381,450,60,partial enclosure,,,13:00:00,13:43:00,13:10:30,13:17:30,Rainbow Trout,87,7.4,TRUE,3DD.003E192AED,352,AI,14:11:29,,NA. Pit Tag ID: 3DD.003E192AED. Row ID: 352. 
125180_us_ef1,2024-09-06T00:00:00Z,2024-073-sern-peace-fish-passage,AI LS,AI,AI,electrofishing,1,381,450,60,partial enclosure,,,13:00:00,13:43:00,13:10:30,13:17:30,Rainbow Trout,71,4,TRUE,3DD.003E192ADB,353,AI,,,NA. Pit Tag ID: 3DD.003E192ADB. Row ID: 353. 
125180_us_ef1,2024-09-06T00:00:00Z,2024-073-sern-peace-fish-passage,AI LS,AI,AI,electrofishing,1,381,450,60,partial enclosure,,,13:00:00,13:43:00,13:17:30,13:21:20,Rainbow Trout,87,7.3,TRUE,3DD.003E192AF8,354,AI,14:19:13,,Potentially tagged in 2022. Pit Tag ID: 3DD.003E192AF8. Row ID: 354. 
125180_us_ef1,2024-09-06T00:00:00Z,2024-073-sern-peace-fish-passage,AI LS,AI,AI,electrofishing,1,381,450,60,partial enclosure,,,13:00:00,13:43:00,13:17:30,13:21:20,Rainbow Trout,84,8,TRUE,3DD.003E192B18,355,AI,,,NA. Pit Tag ID: 3DD.003E192B18. Row ID: 355. 
125180_us_ef1,2024-09-06T00:00:00Z,2024-073-sern-peace-fish-passage,AI LS,AI,AI,electrofishing,1,381,450,60,partial enclosure,,,13:00:00,13:43:00,13:17:30,13:21:20,Rainbow Trout,79,4.5,TRUE,3DD.003E192B13,356,AI,,,NA. Pit Tag ID: 3DD.003E192B13. Row ID: 356. 
125180_us_ef1,2024-09-06T00:00:00Z,2024-073-sern-peace-fish-passage,AI LS,AI,AI,electrofishing,1,381,450,60,partial enclosure,,,13:00:00,13:43:00,13:21:20,13:23:00,Rainbow Trout,56,1.7,TRUE,,,AI,14:23:38,,
125180_us_ef1,2024-09-06T00:00:00Z,2024-073-sern-peace-fish-passage,AI LS,AI,AI,electrofishing,1,381,450,60,partial enclosure,,,13:00:00,13:43:00,13:21:20,13:23:00,Rainbow Trout,82,5.7,TRUE,3DD.003E192ADD,357,AI,,,NA. Pit Tag ID: 3DD.003E192ADD. Row ID: 357. 
125180_us_ef1,2024-09-06T00:00:00Z,2024-073-sern-peace-fish-passage,AI LS,AI,AI,electrofishing,1,381,450,60,partial enclosure,,,13:00:00,13:43:00,13:23:00,13:27:00,Rainbow Trout,81,5.4,TRUE,3DD.003E192AD2,358,AI,,,NA. Pit Tag ID: 3DD.003E192AD2. Row ID: 358. 
