Scientific Name,Species Name,BC List,COSEWIC,Bulkley,Kispiox,Kalum,Morice,Zymoetz
Catostomus catostomus,Longnose Sucker,Yellow,NA,Yes,Yes,NA,Yes,Yes
Catostomus commersonii,White Sucker,Yellow,NA,Yes,Yes,Yes,Yes,NA
Catostomus macrocheilus,Largescale Sucker,Yellow,NA,Yes,Yes,Yes,Yes,Yes
Chrosomus eos,Northern Redbelly Dace,Yellow,NA,Yes,NA,NA,NA,NA
Coregonus clupeaformis,Lake Whitefish,Yellow,NA,Yes,Yes,NA,Yes,NA
Coregonus sardinella,Least Cisco,Blue,NA,NA,NA,Yes,NA,NA
Cottus aleuticus,Coastrange Sculpin (formerly Aleutian Sculpin),Yellow,NA,Yes,Yes,Yes,Yes,NA
Cottus asper,Prickly Sculpin,Yellow,NA,Yes,Yes,Yes,Yes,Yes
Cottus cognatus,Slimy Sculpin,Yellow,NA,NA,Yes,Yes,NA,NA
Couesius plumbeus,Lake Chub,Yellow,DD,Yes,Yes,Yes,Yes,NA
Entosphenus tridentatus,Pacific Lamprey,Yellow,NA,Yes,NA,Yes,Yes,NA
Gasterosteus aculeatus,Threespine Stickleback,Yellow,NA,NA,Yes,Yes,NA,NA
Hybognathus hankinsoni,Brassy Minnow,No Status,NA,Yes,NA,NA,NA,NA
Lampetra ayresii,River Lamprey,Yellow,NA,NA,NA,Yes,NA,NA
Lota lota,Burbot,Yellow,NA,Yes,Yes,Yes,Yes,Yes
Mylocheilus caurinus,Peamouth Chub,Yellow,NA,Yes,Yes,Yes,Yes,Yes
Oncorhynchus clarkii,Cutthroat Trout,No Status,NA,Yes,Yes,Yes,Yes,Yes
Oncorhynchus clarkii,Cutthroat Trout (Anadromous),No Status,NA,Yes,Yes,NA,NA,Yes
Oncorhynchus clarkii clarkii,Coastal Cutthroat Trout,Blue,NA,Yes,Yes,Yes,Yes,Yes
Oncorhynchus clarkii lewisi,Westslope (Yellowstone) Cutthroat Trout,Blue,SC (Nov 2016),NA,Yes,Yes,NA,NA
Oncorhynchus gorbuscha,Pink Salmon,Not Reviewed,NA,Yes,Yes,Yes,Yes,Yes
Oncorhynchus keta,Chum Salmon,Not Reviewed,NA,Yes,Yes,Yes,Yes,Yes
Oncorhynchus kisutch,Coho Salmon,Not Reviewed,NA,Yes,Yes,Yes,Yes,Yes
Oncorhynchus mykiss,Rainbow Trout,Yellow,NA,Yes,Yes,Yes,Yes,Yes
Oncorhynchus mykiss,Steelhead,Yellow,NA,Yes,Yes,Yes,Yes,Yes
Oncorhynchus mykiss,Steelhead (Summer-run),Yellow,NA,Yes,NA,NA,Yes,NA
Oncorhynchus mykiss,Steelhead (Winter-run),Yellow,NA,NA,Yes,NA,NA,Yes
Oncorhynchus nerka,Kokanee,Not Reviewed,NA,Yes,Yes,Yes,Yes,Yes
Oncorhynchus nerka,Sockeye Salmon,Not Reviewed,NA,Yes,Yes,Yes,Yes,Yes
Oncorhynchus tshawytscha,Chinook Salmon,Not Reviewed,E/T/SC/DD/NAR (Nov 2020),Yes,Yes,Yes,Yes,Yes
Prosopium coulterii,Pygmy Whitefish,Yellow,NAR (Nov 2016),Yes,Yes,NA,Yes,NA
Prosopium coulterii pop. 3,Giant Pygmy Whitefish,Yellow,NAR (Nov 2016),Yes,NA,NA,NA,NA
Prosopium cylindraceum,Round Whitefish,Yellow,NA,NA,NA,Yes,NA,NA
Prosopium williamsoni,Mountain Whitefish,Yellow,NA,Yes,Yes,Yes,Yes,Yes
Ptychocheilus oregonensis,Northern Pikeminnow,Yellow,NA,Yes,Yes,NA,Yes,Yes
Pungitius pungitius,Ninespine Stickleback,Unknown,NA,Yes,NA,NA,NA,NA
Rhinichthys cataractae,Longnose Dace,Yellow,NA,Yes,Yes,Yes,Yes,Yes
Rhinichthys falcatus,Leopard Dace,Yellow,NAR (May 1990),NA,NA,NA,Yes,NA
Richardsonius balteatus,Redside Shiner,Yellow,NA,Yes,Yes,Yes,Yes,Yes
Salvelinus confluentus,Bull Trout,Blue,SC (Nov 2012),Yes,Yes,Yes,Yes,Yes
Salvelinus fontinalis,Brook Trout,Exotic,NA,Yes,NA,NA,Yes,NA
Salvelinus malma,Dolly Varden,Yellow,NA,Yes,Yes,Yes,Yes,Yes
Salvelinus namaycush,Lake Trout,Yellow,NA,Yes,Yes,NA,Yes,NA
NA,All Salmon,NA,NA,NA,Yes,Yes,NA,NA
NA,Arctic Char,NA,NA,NA,NA,NA,Yes,NA
NA,Chub (General),NA,NA,NA,Yes,NA,NA,NA
NA,Cutthroat/Rainbow cross,NA,NA,Yes,Yes,Yes,NA,NA
NA,Dace (General),NA,NA,NA,NA,NA,Yes,NA
NA,Lamprey (General),NA,NA,Yes,Yes,Yes,Yes,NA
NA,Minnow (General),NA,NA,Yes,Yes,NA,Yes,NA
NA,Mottled Sculpin,NA,NA,Yes,NA,NA,NA,NA
NA,Salmon (General),NA,NA,Yes,Yes,NA,Yes,Yes
NA,Sculpin (General),NA,NA,Yes,Yes,Yes,Yes,Yes
NA,Squanga,NA,NA,NA,Yes,NA,NA,NA
NA,Stickleback (General),NA,NA,NA,Yes,Yes,NA,NA
NA,Sucker (General),NA,NA,Yes,Yes,Yes,Yes,Yes
NA,Verified DV BT hybrid,NA,NA,NA,NA,Yes,NA,NA
NA,Whitefish (General),NA,NA,Yes,Yes,Yes,Yes,Yes
